Voter Address,Voting Power,Choice Ranking
0x875bde4c417e22035c03bac45bb953d8000aba70,1.3119,"JustaName,Decent,Namespace,WebHash,Unicorn.eth,ZK Email - ext,Lighthouse Labs,Enscribe,Agora - basic,Ethereum Identity Fnd - basic,blockful - ext,Unruggable - basic,Agora - ext,Curia Lab,AlphaGrowth - basic,3DNS - ext,x23.ai,Namestone,ZK Email - basic,Wildcard Labs - ext,blockful - basic,dWeb.host - ext,NameHash Labs,dWeb.host - basic,eth.limo - ext,NONE BELOW,AlphaGrowth - ext,PYOR,Unruggable - ext,3DNS - basic,Wildcard Labs - basic,eth.limo - basic,Ethereum Identity Fnd - ext,GovPal,Tally,Web3bio"
0xa8f5f683d7c5cff64b030a8303a32e0fcacee18f,1.305,"Ethereum Identity Fnd - basic,Lighthouse Labs,AlphaGrowth - ext,Namestone,Agora - ext,eth.limo - basic,3DNS - ext,Agora - basic,JustaName,Curia Lab,PYOR,eth.limo - ext,Ethereum Identity Fnd - ext,Web3bio,NONE BELOW,Wildcard Labs - basic,Tally,dWeb.host - basic,AlphaGrowth - basic,ZK Email - basic,blockful - ext,Namespace,x23.ai,3DNS - basic,ZK Email - ext,Unruggable - ext,Wildcard Labs - ext,Decent,Enscribe,WebHash,blockful - basic,NameHash Labs,dWeb.host - ext,Unruggable - basic,GovPal,Unicorn.eth"
0x8bb9d5908cdce82915a847fbb34fd93e1e50ccc2,1.2883298968592876,"Tally,Decent,eth.limo - ext,PYOR,Unruggable - ext,Lighthouse Labs,ZK Email - basic,dWeb.host - ext,eth.limo - basic,blockful - ext,blockful - basic,AlphaGrowth - ext,Unruggable - basic,ZK Email - ext,Agora - ext,Agora - basic,Enscribe,GovPal,Wildcard Labs - basic,Ethereum Identity Fnd - basic,NameHash Labs,JustaName,AlphaGrowth - basic,Unicorn.eth,Web3bio,dWeb.host - basic,WebHash,Wildcard Labs - ext,x23.ai,NONE BELOW,Ethereum Identity Fnd - ext,Namestone,3DNS - ext,Namespace,3DNS - basic,Curia Lab"
0xd08da3621a547d7d7cb07425e6aa6679c566e40f,1.2225067698445786,"Tally,Enscribe,GovPal,NameHash Labs,Namespace,WebHash,NONE BELOW,Ethereum Identity Fnd - basic,3DNS - ext,AlphaGrowth - ext,eth.limo - ext,dWeb.host - ext,Wildcard Labs - ext,Decent,JustaName,blockful - ext,x23.ai,Curia Lab,Web3bio,blockful - basic,Agora - basic,Unicorn.eth,Unruggable - basic,ZK Email - basic,AlphaGrowth - basic,Namestone,eth.limo - basic,Lighthouse Labs,3DNS - basic,ZK Email - ext,dWeb.host - basic,Unruggable - ext,PYOR,Ethereum Identity Fnd - ext,Wildcard Labs - basic,Agora - ext"
0x2f2f665974261c4129b1dc6c359bd259cd66f78a,1.1969834823104752,"eth.limo - ext,NONE BELOW,Decent,Curia Lab,AlphaGrowth - ext,dWeb.host - ext,JustaName,Agora - basic,Web3bio,3DNS - ext,Tally,Wildcard Labs - ext,Unicorn.eth,ZK Email - ext,Unruggable - basic,Agora - ext,Lighthouse Labs,3DNS - basic,GovPal,x23.ai,Ethereum Identity Fnd - basic,NameHash Labs,Namestone,dWeb.host - basic,ZK Email - basic,Enscribe,Unruggable - ext,blockful - basic,Wildcard Labs - basic,blockful - ext,Namespace,WebHash,PYOR,Ethereum Identity Fnd - ext,AlphaGrowth - basic,eth.limo - basic"
0xbfd14b2201065b5b501975a7d132f4a299704f66,1.1597606,"dWeb.host - ext,GovPal,eth.limo - basic,Unicorn.eth,Namestone,dWeb.host - basic,Agora - ext,Ethereum Identity Fnd - basic,3DNS - basic,Unruggable - ext,NameHash Labs,NONE BELOW,AlphaGrowth - ext,3DNS - ext,Enscribe,WebHash,eth.limo - ext,AlphaGrowth - basic,Agora - basic,blockful - basic,JustaName,Tally,ZK Email - ext,Web3bio,Wildcard Labs - basic,Unruggable - basic,blockful - ext,Namespace,Wildcard Labs - ext,PYOR,ZK Email - basic,x23.ai,Lighthouse Labs,Decent,Curia Lab,Ethereum Identity Fnd - ext"
0x14af1478455c4581ea8c0e005dd55db79fad2531,1.0821283287117147,"Agora - ext,dWeb.host - basic,blockful - ext,NameHash Labs,Unicorn.eth,Decent,Lighthouse Labs,Unruggable - basic,3DNS - ext,Wildcard Labs - ext,dWeb.host - ext,x23.ai,Enscribe,GovPal,Web3bio,ZK Email - ext,JustaName,Tally,eth.limo - ext,3DNS - basic,Ethereum Identity Fnd - ext,Wildcard Labs - basic,Curia Lab,Namespace,AlphaGrowth - ext,Namestone,WebHash,Ethereum Identity Fnd - basic,blockful - basic,PYOR,eth.limo - basic,NONE BELOW,Agora - basic,ZK Email - basic,AlphaGrowth - basic,Unruggable - ext"
0x3fb19771947072629c8eee7995a2ef23b72d4c8a,1.0795488205616222,"Agora - basic,AlphaGrowth - basic,Tally,Curia Lab,AlphaGrowth - ext,Agora - ext,NONE BELOW,Wildcard Labs - basic,3DNS - basic,eth.limo - basic,JustaName,Web3bio,blockful - basic,blockful - ext,Ethereum Identity Fnd - basic,Lighthouse Labs,x23.ai,Unicorn.eth,dWeb.host - basic,Enscribe,Namestone,ZK Email - basic,WebHash,Wildcard Labs - ext,eth.limo - ext,3DNS - ext,GovPal,ZK Email - ext,Ethereum Identity Fnd - ext,Unruggable - ext,Namespace,Decent,NameHash Labs,dWeb.host - ext,Unruggable - basic,PYOR"
0xb3bfc42a7826d3558caea6179a258f5c0cd36ce4,1.0552831494723287,"Wildcard Labs - basic,Web3bio,JustaName,Unicorn.eth,NameHash Labs,Agora - ext,Wildcard Labs - ext,WebHash,x23.ai,dWeb.host - ext,Namestone,NONE BELOW,Agora - basic,eth.limo - ext,Lighthouse Labs,Tally,3DNS - ext,Ethereum Identity Fnd - ext,PYOR,ZK Email - basic,3DNS - basic,ZK Email - ext,dWeb.host - basic,blockful - basic,Unruggable - ext,Unruggable - basic,Decent,Ethereum Identity Fnd - basic,Curia Lab,GovPal,blockful - ext,AlphaGrowth - ext,Enscribe,Namespace,AlphaGrowth - basic,eth.limo - basic"
0x9a0f21b00d45856bf67be52d822fa3d4f8888de8,1.0352906344526551,"eth.limo - basic,eth.limo - ext,Ethereum Identity Fnd - ext,Ethereum Identity Fnd - basic,ZK Email - ext,x23.ai,ZK Email - basic,Curia Lab,Wildcard Labs - ext,Unicorn.eth,Decent,Enscribe,dWeb.host - ext,GovPal,Unruggable - ext,JustaName,WebHash,blockful - basic,Namestone,Wildcard Labs - basic,3DNS - basic,AlphaGrowth - ext,Tally,blockful - ext,Unruggable - basic,dWeb.host - basic,NameHash Labs,3DNS - ext,PYOR,AlphaGrowth - basic,Agora - ext,Agora - basic,Namespace,Lighthouse Labs,Web3bio,NONE BELOW"
0xfdab3be33284ef68442f55535ffc0b1fcbad2b62,1.0348500189144842,"dWeb.host - basic,NameHash Labs,NONE BELOW,WebHash,Agora - ext,x23.ai,Unicorn.eth,dWeb.host - ext,3DNS - ext,AlphaGrowth - basic,Ethereum Identity Fnd - basic,3DNS - basic,PYOR,ZK Email - basic,Curia Lab,blockful - basic,Wildcard Labs - ext,Ethereum Identity Fnd - ext,eth.limo - basic,GovPal,Enscribe,ZK Email - ext,AlphaGrowth - ext,JustaName,Web3bio,eth.limo - ext,Namestone,Unruggable - basic,Tally,Decent,Lighthouse Labs,Agora - basic,blockful - ext,Namespace,Unruggable - ext,Wildcard Labs - basic"
